Branch,Staff,Operating_Cost,Deposits_2016,Deposit_Growth,Avg_Deposits,Latitude,Longitude
Melville Branch,0.051404599999999995,5140.46,257023,15542508.0,208147.0,40.78894,-73.41543
North Bellmore Branch,0.032101199999999996,3210.12,160506,15539125.0,133765.57142857142,40.68369,-73.53926
Northport Main St Branch,0.0323714,3237.14,161857,15537259.0,135764.14285714287,40.90022,-73.35111
Riverhead Shopping Center Branch,0.010244,1024.4,51220,15532847.0,33819.857142857145,40.92665,-72.68985
Seaford Branch,0.0393004,3930.04,196502,15544496.0,174672.14285714287,40.66589,-73.48901
Southampton Driveup Branch,0.075442,7544.2,377210,15546935.0,262205.85714285716,40.88602,-72.39175
South Huntington Branch,0.044323,4432.3,221615,15533445.0,193945.7142857143,40.82849,-73.41184
North Massapequa Branch,0.059176,5917.6,295880,15542887.0,261722.85714285713,40.69588,-73.48077
Wantagh Branch,0.0581316,5813.16,290658,15553243.0,249470.14285714287,40.69326,-73.50773
West Babylon Branch,0.0436996,4369.96,218498,15594120.0,151311.57142857142,40.71363,-73.34911
Wyandanch Compare Foods Branch,0.0046832,468.32,23416,15525405.0,21032.0,40.75205,-73.36144
North Patchogue Branch,0.0211188,2111.88,105594,15536646.0,91412.28571428571,40.78404,-73.00877
West Bay Shore Branch,0.034466199999999995,3446.62,172331,15536108.0,152155.42857142858,40.72923,-73.27809
Huntington Branch,0.1429966,14299.66,714983,15559790.0,593774.8571428572,40.87074,-73.43057
Mineola Court House Branch,0.061451399999999996,6145.14,307257,15524268.0,290748.0,40.73882,-73.64001
East Farmingdale Branch,0.0372986,3729.86,186493,15578613.0,119996.14285714286,40.74442,-73.42264
Arthur Avenue Branch,0.0231532,2315.32,115766,15535979.0,98625.85714285714,40.8558,-73.88736
Madison Avenue & 86th Street Branch,0.09659179999999999,9659.18,482959,15545401.0,461786.5714285714,40.78133,-73.96007
Hauppauge Branch,0.0561486,5614.86,280743,15554565.0,214865.2857142857,40.80679,-73.25463
Macarthur Airport Vets Hwy Branch,0.0334642,3346.42,167321,15539006.0,137833.57142857142,40.78232,-73.09576
Smithtown Branch,0.0559232,5592.32,279616,15561290.0,220006.2857142857,40.85479,-73.19593
Stony Brook Branch,0.045855799999999995,4585.58,229279,15537243.0,204700.7142857143,40.87261,-73.12509
Fort Salonga Branch,0.0264604,2646.04,132302,15552329.0,98391.42857142857,40.9124,-73.30051
Nanuet Driveup Branch,0.047406199999999996,4740.62,237031,15530050.0,219094.42857142858,41.11233,-74.01439
New York North Branch,0.0368982,3689.82,184491,15541345.0,159899.42857142858,41.04667,-73.94522
Valley Cottage Branch,0.030660999999999997,3066.1,153305,15525107.0,132332.85714285713,41.11734,-73.94144
Yankee Stadium Branch,0.000696,69.60000000000001,3480,15406208.0,95230.0,40.82725,-73.92476
North Shore Towers Branch,0.024496999999999998,2449.7000000000003,122485,15531373.0,113425.0,40.75923,-73.71294
Jefferson Valley Mall Branch,0.056506,5650.6,282530,15535636.0,253136.42857142858,41.33153,-73.80646
Gateway Plaza Branch,0.072825,7282.5,364125,15511194.0,323043.5714285714,40.71053,-74.01629
Broadway and 79th Street Branch,0.1168052,11680.52,584026,15552294.0,505560.14285714284,40.7839,-73.98015
Morris Park Branch,0.0446444,4464.4400000000005,223222,15582666.0,153762.57142857142,40.84911,-73.85402
Tottenville Branch,0.0326486,3264.86,163243,15534511.0,127061.85714285714,40.51718,-74.23413
Brentwood Branch,0.0176684,1766.8400000000001,88342,15531051.0,76463.85714285714,40.77857,-73.24617
Lake Ronkonkoma Branch,0.034498799999999996,3449.88,172494,15535028.0,157292.42857142858,40.83041,-73.09187
Bellmore Branch,0.0437096,4370.96,218548,15537403.0,186744.7142857143,40.66299,-73.52854
Allerton Avenue Branch,0.016509799999999998,1650.98,82549,15529832.0,70538.28571428571,40.8654,-73.86543
Riverdale North Branch,0.027810599999999998,2781.06,139053,15535442.0,117464.57142857143,40.90559,-73.90439
Boynton Avenue Branch,0.012374399999999999,1237.44,61872,15525963.0,50303.142857142855,40.82864,-73.87836
City Island Branch,0.017494799999999998,1749.48,87474,15529975.0,79519.71428571429,40.84425,-73.78537
Concourse Branch,0.025827199999999998,2582.7200000000003,129136,15529749.0,110239.57142857143,40.86236,-73.8981
Melrose Branch,0.030706599999999997,3070.66,153533,15529178.0,144215.14285714287,40.81641,-73.91896
Mosholu Branch,0.026319,2631.9,131595,15537461.0,124057.28571428571,40.881,-73.88322
Pelham Parkway Branch,0.0429398,4293.9800000000005,214699,15532135.0,185613.42857142858,40.85414,-73.86764
New Lots Branch,0.012081399999999999,1208.14,60407,15528074.0,49072.42857142857,40.66074,-73.88503
Boro Park Branch,0.170175,17017.5,850875,15709035.0,532261.1428571428,40.63496,-73.9922
Brooklyn Trust Branch,0.131259,13125.9,656295,15568746.0,542533.0,40.69423,-73.99223
Brownsville Branch,0.008146,814.6,40730,15529011.0,33260.0,40.66971,-73.91058
Bushwick Branch,0.0279524,2795.2400000000002,139762,15537240.0,108261.0,40.712,-73.94064
Church Avenue Branch,0.0220594,2205.94,110297,15532230.0,90003.42857142857,40.65128,-73.93028
Bedford and Dekalb Branch,0.020109,2010.9,100545,15535472.0,67512.85714285714,40.69073,-73.9553
Flatbush Branch,0.038839599999999995,3883.96,194198,15547229.0,150876.42857142858,40.65042,-73.95864
Fourth Ave and 51st Street Branch,0.020375,2037.5,101875,15522397.0,87960.85714285714,40.64577,-74.01322
Flatlands Branch,0.028418799999999998,2841.88,142094,15543017.0,119048.28571428571,40.62129,-73.93544
Newkirk Plaza Branch,0.033553599999999996,3355.36,167768,15527104.0,141761.14285714287,40.63432,-73.96269
Kings Highway Branch,0.041470799999999995,4147.08,207354,15528722.0,174850.7142857143,40.60919,-73.95643
Mapleton Branch,0.0483566,4835.66,241783,15550925.0,190547.57142857142,40.61909,-73.99014
Ninth Street Branch,0.0562164,5621.64,281082,15556599.0,209205.0,40.66985,-73.98073
Havemeyer and Broadway Branch,0.07926559999999999,7926.56,396328,15559183.0,286606.71428571426,40.70909,-73.95906
Avenue H Branch,0.0349528,3495.28,174764,15571033.0,122099.0,40.63127,-73.946
Avenue U and East 17th St Branch,0.0960408,9604.08,480204,15571658.0,357326.71428571426,40.59911,-73.95374
Park Slope Branch,0.085335,8533.5,426675,15590118.0,315153.14285714284,40.67313,-73.97627
Albee Square Branch,0.028699199999999998,2869.92,143496,15530755.0,112473.85714285714,40.68837,-73.98067
Sheepshead Bay Branch,0.0638308,6383.08,319154,15583113.0,232151.7142857143,40.58801,-73.95236
Utica Avenue Branch,0.015527399999999998,1552.74,77637,15552862.0,50352.71428571428,40.66975,-73.93096
Flushing Avenue Branch,0.0155096,1550.96,77548,15530437.0,58896.71428571428,40.6977,-73.96749
Grand Street Branch,0.056253199999999996,5625.32,281266,15559531.0,191940.2857142857,40.71853,-73.99513
Broadway and 96th Street Branch,0.0948456,9484.56,474228,15557313.0,391697.0,40.79445,-73.97206
Delancey Street Branch,0.048225199999999996,4822.52,241126,15599968.0,143015.7142857143,40.71855,-73.98854
New York Life Branch,0.20306839999999998,20306.84,1015342,15634847.0,795873.5714285715,40.74292,-73.98449
University Place Branch,0.101065,10106.5,505325,15603866.0,378677.28571428574,40.73203,-73.99448
Harlem Branch,0.021799,2179.9,108995,15520819.0,106127.57142857143,40.81054,-73.95217
Broadway and 144th St Branch,0.016103,1610.3,80515,15527223.0,66135.0,40.82581,-73.95111
West 125th Street Branch,0.012530399999999999,1253.04,62652,15527358.0,60837.0,40.80728,-73.94431
Stuyvesant Town Branch,0.0588166,5881.66,294083,15553957.0,230946.57142857142,40.73198,-73.98219
Madison Avenue & 72nd Street Branch,0.16304659999999999,16304.66,815233,15575825.0,717228.5714285715,40.77162,-73.96504
Madison Ave Abd 48th St Branch,13.8089572,1380895.72,69044786,1.0,75257747.42857143,40.75598,-73.97686
Murray Hill Branch,0.06891699999999999,6891.7,344585,15519066.0,317930.14285714284,40.74387,-73.97955
Astoria Broadway and 21st St Branch,0.0451148,4511.4800000000005,225574,15543763.0,174651.7142857143,,
Junction Boulevard Branch,0.038976,3897.6,194880,15579576.0,130919.85714285714,,
Glen Oaks Branch,0.0354612,3546.12,177306,15539880.0,134273.85714285713,40.74549,-73.71507
Holliswood Branch,0.036309999999999995,3631.0,181550,15538617.0,149863.2857142857,40.72077,-73.76014
Jackson Heights Branch,0.046797,4679.7,233985,15524057.0,205145.14285714287,,
Kew Gardens Branch,0.0340372,3403.7200000000003,170186,15535045.0,132371.85714285713,40.71475,-73.83218
Sunnyside North Branch,0.0437144,4371.4400000000005,218572,15534602.0,190521.0,40.74315,-73.91708
Ridgewood Branch,0.047892199999999996,4789.22,239461,15553199.0,189763.42857142858,40.70068,-73.89588
Woodside Branch,0.0597256,5972.56,298628,15547593.0,237809.7142857143,,
Scarsdale Central Park Branch,0.0407272,4072.7200000000003,203636,15590751.0,139307.2857142857,40.99988,-73.8153
Madison Square Garden Branch,0.129931,12993.1,649655,15532493.0,537483.4285714285,40.74959,-73.99172
Tysens Lane Branch,0.0442756,4427.56,221378,15529345.0,199959.57142857142,40.56537,-74.11471
Port Washington Branch,0.11871319999999999,11871.32,593566,15543751.0,535590.8571428572,40.83042,-73.6906
Hunts Point Branch,0.0096504,965.04,48252,15520611.0,41467.42857142857,40.81068,-73.88309
Bedford Village Branch,0.048192,4819.2,240960,15634281.0,142847.42857142858,41.19557,-73.65517
North Broadway Branch,0.0157348,1573.48,78674,15530130.0,67654.14285714286,40.96985,-73.88435
Valley Stream Branch,0.0399396,3993.96,199698,15538729.0,181007.57142857142,40.6663,-73.70341
Croton Branch,0.0262254,2622.54,131127,15536240.0,108564.28571428571,41.23329,-73.91364
Cypress Hills Branch,0.013972799999999999,1397.28,69864,15530021.0,57142.857142857145,40.68394,-73.8709
Foster Avenue Branch,0.0275398,2753.98,137699,15539333.0,115498.28571428571,40.6478,-73.90661
Greenpoint Branch,0.0730818,7308.18,365409,15568626.0,267130.14285714284,40.72777,-73.95299
Glendale Woodhaven Branch,0.0286976,2869.76,143488,15536770.0,116788.28571428571,40.71165,-73.85987
Mount Sinai Branch,0.0461048,4610.4800000000005,230524,15528864.0,209316.0,40.93189,-73.03321
Boston Post Rd and Weaver Branch,0.0472922,4729.22,236461,15540124.0,201813.2857142857,40.93503,-73.74785
Commack Vanderbilt Pkwy Branch,0.0477504,4775.04,238752,15549009.0,187883.42857142858,40.80733,-73.27931
Selden Branch,0.044017799999999996,4401.78,220089,15539746.0,193660.42857142858,40.86371,-73.04897
Great Neck Plaza Branch,0.1375652,13756.52,687826,15540612.0,568625.4285714285,40.78864,-73.72687
Hartsdale Branch,0.027413,2741.3,137065,15530592.0,126394.85714285714,41.02211,-73.80873
Fleetwood Branch,0.0394932,3949.32,197466,15534791.0,178885.14285714287,40.92465,-73.83623
Little Neck Branch,0.055417799999999996,5541.78,277089,15563252.0,200745.57142857142,,
Grasmere Branch,0.033988199999999996,3398.82,169941,15537506.0,133591.14285714287,40.59872,-74.08087
Parkchester Branch,0.020724199999999998,2072.42,103621,15530157.0,85979.57142857143,40.83359,-73.86131
Throggs Neck Branch,0.053638599999999995,5363.86,268193,15555322.0,213408.14285714287,40.83075,-73.82626
Mott Haven Branch,0.0071842,718.42,35921,15524195.0,32930.0,40.81048,-73.92806
Wakefield Branch,0.0352216,3522.16,176108,15550572.0,145397.42857142858,40.89317,-73.85647
Bensonhurst Branch,0.0367216,3672.16,183608,15532096.0,158703.0,40.60485,-73.99799
Empire Boulevard Branch,0.027303599999999997,2730.36,136518,15537606.0,96696.14285714286,40.66417,-73.95098
Mill Basin Branch,0.06812359999999999,6812.360000000001,340618,15566788.0,267013.71428571426,40.61711,-73.91128
Bay Ridge Third Avenue Branch,0.0557692,5576.92,278846,15558013.0,209534.42857142858,40.61836,-74.03315
Park Avenue and 55th St Branch,0.22157079999999998,22157.08,1107854,15561971.0,1034583.8571428572,40.76015,-73.97195
Second Ave and 106th St Branch,0.017996599999999998,1799.66,89983,15527364.0,81208.28571428571,40.79069,-73.94248
135th Street & Fifth Avenue Branch,0.0135894,1358.94,67947,15529051.0,59210.28571428572,40.81311,-73.93745
Avenue Of The Americas Branch,0.1397088,13970.880000000001,698544,15543289.0,609561.1428571428,40.76362,-73.97763
Grand Central Place,0.2899206,28992.06,1449603,15578361.0,1137232.4285714286,40.75237,-73.97836
Hudson Street Branch,0.0554022,5540.22,277011,15550241.0,191726.85714285713,40.72748,-74.00734
Noho Branch,0.0775984,7759.84,387992,15551395.0,293065.4285714286,40.72602,-73.99625
Madison Avenue and 64th St Branch,0.0036898,368.98,18449,15515363.0,407207.71428571426,40.76655,-73.96925
Broadway and Fulton Branch,0.29966499999999996,29966.5,1498325,16011388.0,1020779.1428571428,40.71124,-74.00866
Madison & 79th Street Branch,0.0793466,7934.66,396733,15507895.0,355304.28571428574,40.77613,-73.96219
First Ave and 44th St Branch,0.1151748,11517.48,575874,15523373.0,685782.8571428572,40.75012,-73.96888
West 14th Street Branch,0.0799196,7991.96,399598,15543673.0,320394.0,40.7363,-73.9934
Third Avenue and 79th Street Branch,0.09076999999999999,9077.0,453850,15544868.0,340857.14285714284,40.7743,-73.95719
73rd Street & Broadway Branch,0.1248702,12487.02,624351,15573803.0,527333.4285714285,40.77959,-73.98192
Third Avenue and 56th Street Branch,0.1057062,10570.62,528531,15502270.0,451716.5714285714,40.75954,-73.96798
Dyckman Street Branch,0.0251582,2515.82,125791,15527355.0,116601.42857142857,40.86383,-73.92618
Ditmars Branch,0.039248399999999996,3924.84,196242,15543484.0,144738.57142857142,40.78013,-73.90961
Corona 103rd St Branch,0.0222318,2223.18,111159,15536283.0,82735.85714285714,40.75213,-73.86393
Broadway-Flushing Branch,0.0492064,4920.64,246032,15555539.0,192667.57142857142,40.76096,-73.8022
Yellowstone Branch,0.0384612,3846.12,192306,15515103.0,150969.42857142858,,
Fresh Meadows Branch,0.0632612,6326.12,316306,15556739.0,246364.85714285713,,
Roosevelt and 75th St Branch,0.0433244,4332.4400000000005,216622,15549963.0,162122.57142857142,40.74698,-73.89042
Jamaica Branch,0.0270988,2709.88,135494,15535718.0,114561.71428571429,40.70424,-73.79809
Kew Gardens Branch,0.0443852,4438.52,221926,15525629.0,188523.2857142857,40.70854,-73.83069
Grand Ave and 66th St Branch,0.034538,3453.8,172690,15553933.0,129559.71428571429,40.72428,-73.89845
Metropolitan Avenue Branch,0.028272,2827.2000000000003,141360,15541361.0,95441.14285714286,,
Metropolitan and 74th St Branch,0.0293766,2937.66,146883,15535922.0,116091.14285714286,40.71286,-73.87803
Ozone Park Branch,0.0325684,3256.84,162842,15534716.0,139195.57142857142,40.68472,-73.84441
Richmond Hill South Branch,0.0526492,5264.92,263246,15546231.0,212839.57142857142,40.685,-73.83045
Rockaway Park Branch,0.037604,3760.4,188020,15545527.0,153753.14285714287,40.58016,-73.83724
Whitestone Branch,0.07428499999999999,7428.5,371425,15552380.0,305296.71428571426,40.78698,-73.80896
Woodhaven Branch,0.021667,2166.7,108335,15536470.0,88189.28571428571,40.69252,-73.8598
New Dorp Branch,0.0437192,4371.92,218596,15538964.0,194886.42857142858,40.57299,-74.11458
West New Brighton Branch,0.0422118,4221.18,211059,15502396.0,188464.0,40.62962,-74.11126
Syosset Branch,0.0584552,5845.52,292276,15542897.0,255436.14285714287,40.80619,-73.52079
Yorktown Heights Branch,0.030585599999999998,3058.56,152928,15534415.0,128551.28571428571,41.27755,-73.78445
Midwood Branch,0.1031296,10312.960000000001,515648,15558887.0,405146.5714285714,40.61807,-73.96002
South Valley Stream Branch,0.0295274,2952.7400000000002,147637,15536098.0,119799.14285714286,40.65331,-73.72446
Ardsley Branch,0.030921599999999997,3092.16,154608,15534656.0,126185.0,41.01809,-73.84419
Brighton Beach Branch,0.06414879999999999,6414.88,320744,15533593.0,304556.71428571426,40.57777,-73.96046
Mcdonald Avenue Branch,0.059885,5988.5,299425,15548351.0,232595.57142857142,40.63109,-73.97626
Pelham Bay Branch,0.028500599999999997,2850.06,142503,15531877.0,134577.85714285713,40.85194,-73.82943
Carle Place Branch,0.037670999999999996,3767.1,188355,15530058.0,164007.42857142858,40.74416,-73.60935
Millwood Branch,0.0419342,4193.42,209671,15557280.0,158880.42857142858,41.18801,-73.80361
Second Avenue & 86th Street Branch,0.061616199999999996,6161.62,308081,15529812.0,250218.7142857143,40.77802,-73.95207
Jamaica Estates Branch,0.033042,3304.2000000000003,165210,15538587.0,144484.7142857143,40.71413,-73.77765
Cross River Branch,0.035709,3570.9,178545,15548252.0,152638.14285714287,41.26748,-73.59811
Quaker Ridge Branch,0.0571758,5717.58,285879,15564220.0,247239.85714285713,40.94795,-73.79482
Gun Hill Road Branch,0.0232944,2329.44,116472,15532515.0,90788.14285714286,40.8662,-73.83816
East Hills Branch,0.052014,5201.400000000001,260070,15552220.0,229154.85714285713,40.78575,-73.62236
Abingdon Square Branch,0.0686412,6864.12,343206,15534744.0,295951.4285714286,40.73755,-74.00471
Fort Washington Avenue Branch,0.0264638,2646.38,132319,15525822.0,111010.71428571429,40.85499,-73.93686
Monroe Branch,0.035483799999999996,3548.38,177419,15542839.0,132593.85714285713,41.31862,-74.17588
Brewster Branch,0.018441199999999998,1844.1200000000001,92206,15530783.0,77851.57142857143,41.42067,-73.57661
Eastchester Branch,0.04212,4212.0,210600,15537270.0,171408.42857142858,40.95287,-73.81557
Halston and Harrison Branch,0.0516378,5163.78,258189,15540113.0,261421.57142857142,40.96605,-73.71702
Larchmont Branch,0.0527454,5274.54,263727,15556040.0,196472.42857142858,40.94142,-73.76436
Mount Kisco Satellite Express Branch,0.0432766,4327.66,216383,15515491.0,183525.14285714287,41.22251,-73.71532
New Rochelle Branch,0.033656399999999996,3365.64,168282,15534640.0,150851.85714285713,40.91212,-73.78289
Peekskill Branch,0.0366182,3661.82,183091,15531447.0,157373.0,41.29632,-73.89549
Pleasantville Branch,0.035008399999999995,3500.84,175042,15542570.0,149611.2857142857,41.13582,-73.79182
Rye Branch,0.1131248,11312.48,565624,15585669.0,517751.5714285714,40.98291,-73.68445
Thruway Branch,0.032539,3253.9,162695,15539616.0,129120.28571428571,41.06317,-73.86219
Rosedale Branch,0.0254402,2544.02,127201,15528501.0,113100.57142857143,40.99222,-73.74618
Gedney Branch,0.0464968,4649.68,232484,15562809.0,183977.14285714287,41.02233,-73.75882
North White Plains Branch,0.039442,3944.2000000000003,197210,15543685.0,158859.7142857143,41.05265,-73.76996
Somers Branch,0.021325,2132.5,106625,15531825.0,90990.71428571429,41.33196,-73.68042
Islip Branch,0.052508599999999996,5250.86,262543,15536454.0,230332.2857142857,40.72931,-73.21308
Merrick Branch,0.0296646,2966.46,148323,15535249.0,121189.57142857143,40.66665,-73.55345
Select Direct I Branch,3.14e-05,3.14,157,15524292.0,147.42857142857142,40.70772,-74.01012
East Meadow Branch,0.07156259999999999,7156.26,357813,15537489.0,327390.5714285714,40.72477,-73.54492
Cross County Branch,0.0380254,3802.54,190127,15540665.0,156284.85714285713,40.92689,-73.85713
Munsey Park Branch,0.08468439999999999,8468.44,423422,15535878.0,388261.0,40.79708,-73.66939
Chatham Square Branch,0.061878199999999994,6187.82,309391,15587160.0,204267.42857142858,40.71415,-73.99753
Hicksville Branch,0.061836199999999994,6183.62,309181,15567305.0,244032.85714285713,40.77862,-73.53056
Metrotech Branch,0.0392232,3922.32,196116,15557042.0,135396.85714285713,,
Tower Branch,0.11861959999999999,11861.960000000001,593098,15651598.0,446690.4285714286,43.15711,-77.60666
Fairmount Branch,0.0127228,1272.28,63614,15525662.0,54355.142857142855,43.04832,-76.23206
Dewitt Branch,0.0277682,2776.82,138841,15529885.0,116719.85714285714,43.03523,-76.06748
